Card_ID	Campaign_Responce
100751677	F
103865437	F
104811325	F
101232348	F
103332398	F
105464138	F
100054168	F
100116075	F
103039321	F
101186950	T
100284919	T
105043270	F
103627192	F
100624075	F
100141427	T
105294724	F
100591001	F
100764619	T
106418294	T
101497198	T
106091405	F
104475587	T
106174631	F
100950945	F
100614020	F
100073474	F
101188237	F
100105454	F
100781554	T
100744615	F
104942131	T
104632844	F
103584072	F
104787764	F
102754863	T
103500404	F
104041297	F
105179180	F
103728029	F
104211383	F
105764968	F
101478021	F
102851192	F
101145434	T
102858128	F
104325105	T
103917190	T
105392203	F
104752974	F
100225122	T
102714767	F
100893092	F
104716183	F
100247469	F
103727970	F
103261307	F
104115233	F
102580624	F
106556158	F
104973871	F
100857118	F
103302575	F
101496255	F
102249234	F
106432784	F
105369230	F
101305433	F
104313734	F
100046544	F
101731115	F
101929774	T
104876706	F
100804118	F
105535695	F
100637135	F
101856966	F
100858490	F
103425791	F
101873870	F
102635223	F
102045399	F
101855806	T
100096419	F
105504855	F
101742065	T
104040406	T
105095364	F
104505279	F
103729706	F
103291563	T
105885620	F
101753970	F
102805163	F
104424153	F
100031030	T
102670915	F
104980518	F
104686207	T
103676461	F
104412632	F
102228063	F
104892077	F
101410962	T
101912589	F
103961534	F
104325653	F
105935256	F
105132967	F
100190841	F
103911115	T
101505498	F
102401373	F
100804502	F
106479325	F
105642180	F
104765092	F
103317338	T
101511645	F
102226169	F
102349656	F
102396963	F
102064919	F
100094863	F
101508870	F
102252938	F
100614405	F
100096930	F
105433672	F
106210330	F
100904002	T
100175923	F
102227305	F
101198058	F
100105412	F
104365815	F
103584288	F
105848964	F
100683855	F
104901922	F
104006901	F
103325243	F
102875958	F
102282681	F
106074081	F
103133669	F
101206096	F
103188255	F
104280085	F
105066205	F
100121948	F
104265194	T
104582042	F
101878903	F
106548002	F
105200729	F
104255954	F
101496245	F
100626377	F
104125920	F
101243260	F
101206833	F
102823126	F
104622847	F
100205096	F
100822194	F
100113557	F
101498592	F
104699212	F
100655153	F
102958776	T
101404663	T
103453390	T
105366278	F
100146779	F
106336050	F
101747995	F
100892867	F
102656406	F
101165380	F
100017883	F
100256214	F
103080542	F
105762271	F
105698732	F
103511573	F
104790361	F
101922460	F
102874673	F
100605252	F
104412460	F
105583183	F
104117919	F
105977368	F
101486402	F
103230878	F
106378522	F
102856215	F
101488843	F
102371374	T
106548276	F
106316177	F
101423998	F
103029190	F
105333405	F
100803250	F
103044685	F
100221780	F
104216868	F
106009349	F
100588918	F
103512465	F
103363915	F
100036192	F
104302439	F
102917826	F
105089999	F
104428193	F
103916916	F
106013602	T
101913273	F
104648441	F
100894499	F
104786928	F
103622187	F
103647494	F
101505299	F
105236692	F
103436970	F
102463427	F
105807778	F
104695068	F
103331701	F
101925956	F
104109165	F
103828697	F
103759886	F
102937037	F
105245149	F
104515206	F
100109219	F
106342619	F
105130253	F
103031170	F
105987021	F
104059637	F
106148924	F
106351700	F
105601028	F
101356659	F
105638447	F
102400973	F
102063675	F
102554998	F
102515728	F
105415899	F
100026513	F
103260490	F
104840710	F
100158801	F
102720392	F
101757684	T
102339297	F
105406642	F
101493267	F
103093235	F
103044236	F
102755351	F
100882729	F
104277606	F
100140092	F
105678620	F
103934817	F
106227017	F
102335042	F
103596428	F
102047861	F
100217734	F
103112919	F
106554874	F
104574980	F
105271007	F
102079836	F
105737528	F
102372499	F
105003950	F
106545605	F
105713109	F
100649916	F
104324059	F
105828966	F
105764157	F
105497548	F
101229214	T
101170100	F
104095319	F
102048147	F
105592233	T
103862018	F
105253109	F
105139552	F
104963460	F
104500508	F
101158182	F
100106210	F
100184709	F
105765979	F
104738139	F
105594862	F
101030915	F
105231416	F
104962593	F
104589561	F
103602698	F
101744395	F
101195361	F
106279443	F
104424052	F
100638946	F
100012691	F
101416734	F
104245547	F
102670268	F
104765461	F
105865230	F
104101359	F
104668338	F
103116424	F
106283709	F
103673127	F
100133975	F
103949171	F
103570796	F
103597300	F
100602037	F
106295082	F
102578952	F
106415933	F
102536621	F
103575208	F
100002691	F
100859762	F
100211000	F
103458234	F
101759662	F
106498316	F
100093620	F
106540499	F
105596268	F
105596597	F
102282357	F
104480391	T
100021121	F
100063476	F
101477265	F
105791056	F
104771558	F
103555546	F
105177261	F
104756417	F
106367371	F
101204387	F
106304833	F
102729882	F
101424613	F
101359634	F
105530851	F
103930903	F
101196445	F
105807790	F
104540238	F
101726515	F
103949376	F
103753857	F
100044303	F
105298379	F
102041294	F
100591401	F
100113173	F
104811414	F
100834079	F
100795544	F
102367068	F
104368421	F
105693347	F
100203552	F
102322891	F
101243360	F
100025567	F
100819394	F
104233900	F
102685018	T
104243915	F
103620461	F
100282795	F
103787764	F
102752245	F
105351542	F
106578973	F
101394952	F
105660345	F
104137251	F
103748262	F
102743960	F
100086961	F
104840109	F
100638738	F
106294160	F
103348950	F
104589899	F
104099933	F
102581009	F
106228249	T
104244098	F
100742269	F
100941864	F
101331993	F
100025442	F
100151530	F
105407461	F
106166025	F
102200010	F
102352811	F
103251485	F
103546034	T
101244994	F
105297576	F
105124229	F
103813388	F
102211013	F
103322285	F
100873880	F
100781303	F
102617599	F
103470414	F
101447936	F
106009607	F
101506805	F
104054471	F
103181686	F
101486790	F
103936082	F
101482571	F
105420993	F
106099860	F
100157046	F
105820093	F
100283965	F
100651607	F
100634271	F
105405435	F
104136063	F
100073104	F
101285832	F
105468430	F
101717334	F
104482625	F
103999123	F
101190384	F
106465205	F
101494329	F
100759686	F
100603319	F
106004962	T
105361586	F
104709023	F
103810165	F
103622579	F
105982234	F
102098849	F
103355071	F
103622080	T
101232807	T
105114742	F
105184707	F
104476978	F
105873785	F
102477251	F
100897952	F
106246076	F
104236549	F
100772147	F
100836119	F
101892808	F
100098431	F
103726298	T
104451207	F
105304781	F
103144220	F
104397745	F
103553270	T
104014942	T
103130227	F
102447619	F
104547944	F
105199615	F
100885580	F
101501244	F
102796970	F
103000927	F
105849817	F
104970696	F
103413575	F
103469838	F
106450101	F
103718739	F
101393709	F
101404273	F
102201878	F
105192954	F
102955970	F
106450469	F
103753048	F
102697676	F
105023771	F
100116985	F
104268059	F
100755885	F
101759529	F
103990246	F
100618327	F
100232493	F
102657662	F
103454572	F
105525984	F
102555164	F
102978215	F
100662879	F
105407926	F
100660094	F
102882189	F
102841258	T
102623873	F
101204911	F
102723306	F
100832758	F
106007734	F
103939338	F
105523532	F
101225597	F
105591612	F
105978842	T
105051175	T
101453709	F
103320761	F
105119994	F
103012871	F
102548326	F
102912310	F
105903217	F
103540149	F
103721260	F
100600596	F
101896588	F
106374472	F
104176052	F
105580771	F
103736049	F
100051777	F
105039073	F
100036677	F
100760844	F
106444499	F
102303924	F
104601553	F
104455496	F
105835162	F
101185661	F
105178949	F
100038099	F
102187787	F
100292297	F
105571000	F
101733683	F
106125564	F
101146440	F
100208746	F
101500841	F
104941066	F
101924786	F
105228408	F
105688466	F
103955846	F
103536663	F
103682528	F
102581176	F
101471701	F
104377201	F
105449256	F
102229978	F
105400971	F
106301033	F
106092577	F
100103159	F
101463550	F
105272015	F
103687511	F
106250001	F
106002144	F
102308536	F
102055354	F
101221877	F
105872072	F
100239910	F
105495822	F
100791893	F
105672737	F
104300199	F
106425737	F
102691598	T
106542016	F
102290952	T
101390664	F
100684596	F
100877322	F
101171937	F
100827324	F
100077329	F
104238324	F
103184911	F
100858392	F
103298988	F
101242706	T
104178347	F
105024780	F
100851410	T
100229957	F
100063712	F
100889284	T
104743213	F
102658013	F
100617353	F
101855877	F
105113916	F
101425561	F
106434081	F
104062938	F
105414438	F
104962319	F
104138844	F
100947339	F
103758305	F
100851503	F
106596868	F
102204047	F
106517133	F
100218560	T
100053064	F
103687307	F
103393006	F
102046060	F
105699511	F
106292930	F
102720324	F
104829771	F
103745199	F
103095075	F
100894642	F
100240123	F
100033194	F
104118077	F
100172893	F
102497999	F
103159758	F
102339428	F
102441209	F
102626642	F
100797457	F
106035862	F
100758305	F
103031423	T
100208834	T
105271167	F
102981794	F
100142422	F
101883233	F
105255683	F
103519519	F
106458471	F
100789029	F
102100178	F
103439057	F
100584185	F
104262794	F
102468369	F
102063315	F
103538552	F
102284341	F
102049522	F
105831666	F
103795888	F
104242368	F
102624281	F
103131606	F
103535212	F
100289019	F
100883011	F
105574548	F
104574290	F
104369034	F
100772148	F
100572679	F
104263407	F
104512732	T
100591247	F
106561795	F
106055184	F
100227043	F
100636308	F
105198566	T
104853310	F
100054667	F
106586807	F
102905663	F
102724043	F
103477757	F
101140775	F
100176093	F
105841273	F
105449105	F
105670137	F
104336595	F
101742909	F
105820678	F
101904277	F
106544835	F
103572905	F
100643686	F
102611887	F
101508402	F
103882029	F
104111028	F
103786573	F
100242146	F
104907408	F
105062939	F
106321123	F
103696089	F
106162535	F
105814963	F
104348369	T
104502573	F
102947461	F
103879057	F
100037034	F
105248350	F
100126931	F
103201465	F
102718066	F
105655053	F
103624824	F
101214743	F
102232283	F
100768904	F
103997310	F
102245520	F
103267678	F
106439504	F
101412217	F
100802821	F
105865917	F
102208827	F
100030162	F
105698491	F
103454063	F
105580977	F
105305630	F
105912838	F
104947910	F
106174718	F
104016071	F
104945692	F
104621634	F
104653749	F
100750910	F
106148011	F
103932246	F
102081952	F
106013511	F
104071960	F
103467014	T
104609671	F
104891021	F
103029005	F
104210476	F
100947405	F
105860398	F
103990699	F
100840136	F
106549416	F
100793010	F
101419458	F
102537622	F
104141452	F
102295394	F
100652602	F
100737346	F
104245688	F
105125618	F
102324962	F
105919485	F
104903955	F
102891752	F
105891002	F
100593007	F
104925659	F
105018601	F
103484776	F
105253548	F
104364907	F
100228634	F
101395905	F
100034977	F
101500866	F
101868525	F
102806933	F
101473986	F
104641258	F
105285792	F
102198442	F
104569412	F
102200849	F
104655523	F
102726007	F
100123548	F
103761044	F
100738662	F
101429758	F
105844288	F
104479848	F
101129126	F
101465507	F
105069066	F
101197794	F
103811736	F
105541053	F
105559906	F
100890540	F
104097468	F
106346127	F
105490680	F
103041870	F
106119025	F
100147110	F
102660688	F
104117124	F
106081799	F
100641416	F
102481487	F
101888735	F
104929700	F
102881394	F
104435380	F
104220302	F
102084974	F
103436352	F
106448865	F
100150662	F
104267620	F
104996579	F
101906887	F
103544993	F
103695998	F
101301538	F
100005593	F
106223048	F
106232658	F
100005672	F
102040981	F
100069574	F
105404874	F
103346586	F
102501720	F
101926954	F
103251564	F
106232560	F
105560511	F
103813523	F
105161297	F
103420101	F
101185533	F
103463847	F
103523117	F
106537205	F
102989130	T
101911281	F
101356061	F
105573847	F
102561120	F
102770535	F
105607199	F
106054286	F
104427227	F
100593770	F
101870657	F
101184050	F
102499062	F
105779172	F
105111585	F
103329873	F
103985445	F
104941409	F
105251689	F
105778138	F
101489540	F
106057768	F
106447007	F
103723869	F
103802935	F
103094801	F
102468890	F
100108319	F
102031026	F
102209603	F
100558757	T
100143028	F
101334320	F
104877539	F
104074707	F
101886468	F
103333940	F
100659466	F
105666227	F
102427614	F
102847893	F
105197448	F
101490919	F
104962214	F
104203361	F
102210990	F
101334831	F
100633466	F
101226627	F
100271557	F
102937074	F
100022269	T
105997142	F
101856036	F
104038362	F
103038423	F
104506159	F
102097813	F
106371435	F
102294085	T
104297127	T
101397266	F
103259947	F
103597378	F
100227284	F
102301468	F
103479089	F
104476953	F
103901712	F
104897226	F
102047086	F
102547365	F
103832006	F
103346433	T
102406870	F
101861710	F
104593702	F
102398937	F
100661493	F
100890137	F
100873966	F
100050306	F
103724646	F
101755605	F
105893667	F
104945717	F
105457325	F
104596745	F
104101768	F
102226053	F
102613197	F
103536022	F
100127932	F
103351039	F
106295643	F
105196091	F
103156287	F
104351241	F
105078974	F
100028048	F
100158722	F
102250511	F
101908655	F
106506879	F
104513547	F
101232011	F
104009905	T
101175705	F
104102232	F
100201219	F
102248576	T
101715516	F
106356462	F
101914031	F
106007839	F
100033315	F
103902077	F
104211312	F
101206678	F
102281595	F
100889598	F
103933479	F
105931340	T
101208277	F
101928561	F
100811274	F
104307711	F
104575681	F
101080674	F
102084172	F
106481519	F
105686840	F
106308657	F
104925330	F
103688032	F
106132705	F
102343947	F
105366844	F
100047232	F
100768558	F
101336168	F
103953695	F
102399382	F
104790444	F
100773438	F
103571522	F
104125625	F
105670052	F
106481700	F
100873705	T
104719004	F
100739494	F
105763818	F
104383070	T
104297397	F
103485787	F
106303105	F
105415807	F
104102788	F
103261648	F
101930146	F
100700109	F
104471704	F
103067749	F
104325471	F
102094647	F
103929929	F
101866578	F
101348727	F
103084500	F
100218976	F
101185749	F
105776764	F
101330939	F
104615596	F
104518936	F
105296532	F
101446264	F
101927714	F
105366692	F
106009330	F
103139386	F
100848339	F
104594076	F
100079799	F
100601334	F
101361008	T
100687801	F
104076967	F
102956438	F
102828326	F
104014592	F
103319021	F
105396636	F
105651318	F
105956617	F
101138519	F
105967761	F
104138328	F
103082335	F
106058771	F
100104746	F
101874422	F
106140012	F
102053664	F
103909160	F
106362725	F
100940298	T
105612679	F
106579061	F
105379347	F
103240353	F
102327109	F
104771644	F
104911766	F
100597638	F
105741941	F
101327987	F
104420609	F
101892131	F
102362796	F
105998444	F
100138868	F
106111500	T
105230123	F
104242453	F
100849803	F
102645137	F
100191205	F
104303957	F
106272901	F
100017494	F
100745056	F
106097086	F
